epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.3641,1.16252,0.9106,1,0.30244,0.000328829,0.000328829,0.000328829
2,21.0933,0.25238,0.95695,1,0.12823,0.000640311,0.000640311,0.000640311
3,30.4562,0.10345,0.96026,1,0.2324,0.000929793,0.000929793,0.000929793
4,39.8702,0.0994,0.99338,1,0.02253,0.000901,0.000901,0.000901
5,49.245,0.07167,0.98013,1,0.04453,0.000868,0.000868,0.000868
6,58.5717,0.04705,0.98675,1,0.05649,0.000835,0.000835,0.000835
7,68.0665,0.04169,0.98675,1,0.03024,0.000802,0.000802,0.000802
8,77.5868,0.04233,0.99338,1,0.02223,0.000769,0.000769,0.000769
9,86.9422,0.02918,0.99007,1,0.04503,0.000736,0.000736,0.000736
10,96.3741,0.05192,0.99338,1,0.0457,0.000703,0.000703,0.000703
11,105.7,0.03892,0.99338,1,0.03847,0.00067,0.00067,0.00067
12,115.198,0.03645,0.99007,1,0.04214,0.000637,0.000637,0.000637
13,124.542,0.03305,0.99338,1,0.01371,0.000604,0.000604,0.000604
14,133.862,0.02398,0.99338,1,0.03016,0.000571,0.000571,0.000571
15,143.304,0.0157,0.99338,1,0.0245,0.000538,0.000538,0.000538
16,152.698,0.01855,0.99007,1,0.02245,0.000505,0.000505,0.000505
17,162.146,0.01745,0.99338,1,0.02124,0.000472,0.000472,0.000472
18,171.62,0.0152,0.99338,1,0.02386,0.000439,0.000439,0.000439
19,181.072,0.01277,0.99338,1,0.02091,0.000406,0.000406,0.000406
20,190.592,0.01839,0.99007,1,0.03085,0.000373,0.000373,0.000373
21,199.954,0.0181,0.99007,1,0.02288,0.00034,0.00034,0.00034
22,209.484,0.01572,0.99007,1,0.02064,0.000307,0.000307,0.000307
23,218.891,0.0154,0.99007,1,0.02906,0.000274,0.000274,0.000274
24,228.449,0.022,0.99007,1,0.02877,0.000241,0.000241,0.000241
25,237.861,0.01764,0.99338,1,0.02545,0.000208,0.000208,0.000208
26,247.375,0.00878,0.99007,1,0.03318,0.000175,0.000175,0.000175
27,257.291,0.0148,0.99007,1,0.03839,0.000142,0.000142,0.000142
28,266.616,0.02382,0.99007,1,0.03746,0.000109,0.000109,0.000109
29,275.979,0.00641,0.99007,1,0.04137,7.6e-05,7.6e-05,7.6e-05
30,285.425,0.00627,0.99007,1,0.04232,4.3e-05,4.3e-05,4.3e-05
