epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2831,1.44931,4.41694,1.22131,0.00149,0.32473,0.0093,0.00242,1.00531,5.0263,0.91544,0.00034441,0.00034441,0.00034441
2,91.5415,1.16439,2.52622,1.03278,0.00237,0.44979,0.28513,0.20632,0.90261,4.68777,0.92732,0.000686071,0.000686071,0.000686071
3,134.36,1.08554,1.90608,0.99367,0.97852,0.39098,0.94325,0.67083,1.01497,3.72305,0.992,0.00101365,0.00101365,0.00101365
4,177.186,0.99932,1.67801,0.99467,0.92564,0.75524,0.88531,0.60421,1.13043,3.07568,1.0899,0.00104501,0.00104501,0.00104501
5,219.864,1.02419,1.49316,0.99697,0.92094,0.91564,0.94234,0.67753,1.07623,1.7618,1.07916,0.00102301,0.00102301,0.00102301
6,262.388,0.95076,1.33435,0.99156,0.91704,0.89439,0.9506,0.70695,0.99336,1.64952,1.03163,0.00100101,0.00100101,0.00100101
7,304.597,0.95101,1.27218,0.99242,0.92557,0.962,0.95971,0.71111,0.98983,1.44709,1.03789,0.000979013,0.000979013,0.000979013
8,346.978,0.97442,1.14707,0.97488,0.87643,0.94629,0.98397,0.74302,0.93754,1.29747,1.00037,0.000957015,0.000957015,0.000957015
9,389.717,0.95516,1.05353,0.99181,0.92092,0.99454,0.97809,0.74435,0.905,1.31107,0.98321,0.000935018,0.000935018,0.000935018
10,432.211,0.91738,0.98748,0.96506,0.94225,0.99286,0.9829,0.72289,0.9664,1.14974,1.01876,0.00091302,0.00091302,0.00091302
11,474.466,0.94649,0.96626,0.9847,0.95014,0.94764,0.98687,0.72934,1.00314,1.01012,1.04616,0.000891022,0.000891022,0.000891022
12,516.91,0.89104,0.89049,0.95792,0.88724,0.88746,0.94373,0.71942,0.96034,1.10743,1.02202,0.000869024,0.000869024,0.000869024
13,559.749,0.8813,0.82039,0.96393,0.92055,0.89029,0.94056,0.71412,0.93961,1.05904,1.00523,0.000847026,0.000847026,0.000847026
14,602.355,0.91411,0.80489,0.96624,0.93174,0.98456,0.99349,0.76526,0.90556,0.8891,0.97724,0.000825029,0.000825029,0.000825029
15,645.123,0.88961,0.73765,0.96171,0.92064,0.97468,0.95997,0.7014,1.04682,0.85934,1.06252,0.000803031,0.000803031,0.000803031
16,687.68,0.87484,0.75849,0.97132,0.95343,0.99767,0.97624,0.75402,0.89447,0.76759,0.99838,0.000781033,0.000781033,0.000781033
