epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,535.805,0.20706,0.7014,0.9721,0.9908,0.98443,0.99463,0.98026,0.37247,0.82467,0.58885,0.000664311,0.000664311,0.000664311
2,1056.88,0.15658,0.3071,0.92881,0.98549,1,0.98935,0.81273,0.44806,1.07784,0.87818,0.00126509,0.00126509,0.00126509
3,1585.54,0.14402,0.2428,0.91848,0.99604,0.99827,0.99479,0.99021,0.26041,0.38641,0.49815,0.00179988,0.00179988,0.00179988
4,2098.31,0.13125,0.20991,0.91299,0.99198,0.9974,0.99491,0.99275,0.2694,0.35142,0.52763,0.001703,0.001703,0.001703
5,2610.44,0.11214,0.18675,0.90231,0.99224,0.9954,0.99489,0.98918,0.25063,0.23625,0.50138,0.001604,0.001604,0.001604
6,3120.99,0.1004,0.16416,0.89943,0.98916,0.99221,0.99428,0.97439,0.2388,0.42992,0.49282,0.001505,0.001505,0.001505
7,3631.39,0.09056,0.15222,0.89996,0.9987,1,0.995,0.99493,0.21741,0.31287,0.47632,0.001406,0.001406,0.001406
8,4143,0.08408,0.14677,0.89736,1,0.99807,0.995,0.99486,0.19921,0.27648,0.44142,0.001307,0.001307,0.001307
9,4655.48,0.08097,0.13695,0.89254,0.99999,0.99827,0.995,0.98974,0.18983,0.27911,0.42225,0.001208,0.001208,0.001208
10,5166.87,0.07082,0.12984,0.89084,0.99331,0.99827,0.99431,0.9923,0.23523,0.29805,0.47924,0.001109,0.001109,0.001109
11,5671.94,0.07422,0.10807,0.91094,0.99913,0.99857,0.995,0.99496,0.19267,0.25946,0.44816,0.00101,0.00101,0.00101
12,6180.36,0.05801,0.07083,0.90039,0.99942,1,0.995,0.995,0.18845,0.26028,0.43648,0.000911,0.000911,0.000911
13,6682.96,0.0445,0.05645,0.89847,0.9999,1,0.995,0.995,0.16365,0.26353,0.40777,0.000812,0.000812,0.000812
14,7079.15,0.04784,0.05644,0.90123,0.99929,1,0.995,0.995,0.17933,0.27364,0.4294,0.000713,0.000713,0.000713
15,7454.41,0.04074,0.05154,0.89629,0.99995,1,0.995,0.995,0.16188,0.27155,0.4038,0.000614,0.000614,0.000614
16,7829.31,0.03619,0.04486,0.8942,0.9998,1,0.995,0.995,0.16775,0.27477,0.41447,0.000515,0.000515,0.000515
17,8202.82,0.02931,0.03705,0.88906,0.99996,1,0.995,0.995,0.11052,0.23485,0.3305,0.000416,0.000416,0.000416
18,8576.79,0.02476,0.03273,0.89373,0.99969,1,0.995,0.995,0.08812,0.14241,0.30595,0.000317,0.000317,0.000317
19,8950.53,0.02222,0.02914,0.88945,0.99982,1,0.995,0.995,0.09647,0.1967,0.31681,0.000218,0.000218,0.000218
20,9323.79,0.01909,0.02595,0.89159,0.99995,1,0.995,0.995,0.12165,0.27701,0.35273,0.000119,0.000119,0.000119
