epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,43.1465,3.52853,0.35813,0.68253,2.61664,5.94558e-05,5.94558e-05,5.94558e-05
2,92.5386,2.03823,0.7301,0.9083,1.12669,0.000115191,0.000115191,0.000115191
3,139.975,0.96873,0.90398,0.98443,0.40491,0.000166989,0.000166989,0.000166989
4,187.675,0.47972,0.95242,0.9974,0.1872,0.000161279,0.000161279,0.000161279
5,234.994,0.32349,0.96367,0.9974,0.12881,0.000155372,0.000155372,0.000155372
6,273.351,0.24569,0.96972,0.99913,0.09109,0.000149465,0.000149465,0.000149465
7,309.574,0.20117,0.97318,0.99913,0.08131,0.000143558,0.000143558,0.000143558
8,345.329,0.18516,0.97318,0.99913,0.06881,0.000137651,0.000137651,0.000137651
9,380.939,0.18797,0.97578,0.99913,0.06507,0.000131744,0.000131744,0.000131744
10,417.104,0.15808,0.97578,0.99913,0.07196,0.000125837,0.000125837,0.000125837
11,453.598,0.14945,0.97232,0.99913,0.06421,0.00011993,0.00011993,0.00011993
12,493.286,0.14183,0.97664,0.99913,0.0631,0.000114023,0.000114023,0.000114023
13,541.18,0.12563,0.97578,0.99913,0.06029,0.000108116,0.000108116,0.000108116
14,581.203,0.13987,0.97751,0.99913,0.05583,0.000102209,0.000102209,0.000102209
15,618.435,0.13743,0.97578,0.99913,0.05812,9.6302e-05,9.6302e-05,9.6302e-05
16,655.13,0.11888,0.9801,1,0.04814,9.0395e-05,9.0395e-05,9.0395e-05
17,691.296,0.11199,0.9827,1,0.05796,8.4488e-05,8.4488e-05,8.4488e-05
18,727.586,0.11575,0.98097,1,0.05537,7.8581e-05,7.8581e-05,7.8581e-05
19,764.744,0.10291,0.98183,0.99913,0.0443,7.2674e-05,7.2674e-05,7.2674e-05
20,800.88,0.10597,0.98183,0.99913,0.04468,6.6767e-05,6.6767e-05,6.6767e-05
21,846.262,0.10776,0.98529,0.99913,0.04061,6.086e-05,6.086e-05,6.086e-05
22,893.172,0.09708,0.9801,0.99913,0.04315,5.4953e-05,5.4953e-05,5.4953e-05
23,940.263,0.09385,0.98616,1,0.0387,4.9046e-05,4.9046e-05,4.9046e-05
24,986.511,0.10364,0.98356,0.99913,0.0393,4.3139e-05,4.3139e-05,4.3139e-05
25,1023.81,0.1032,0.9827,0.99913,0.03956,3.7232e-05,3.7232e-05,3.7232e-05
26,1060.36,0.09731,0.9827,0.99913,0.03775,3.1325e-05,3.1325e-05,3.1325e-05
27,1096.29,0.09829,0.9827,0.99913,0.04497,2.5418e-05,2.5418e-05,2.5418e-05
28,1132.13,0.08235,0.98183,0.99913,0.03863,1.9511e-05,1.9511e-05,1.9511e-05
29,1168.06,0.10022,0.98443,0.99913,0.03739,1.3604e-05,1.3604e-05,1.3604e-05
30,1204.03,0.08801,0.98356,0.99913,0.03803,7.697e-06,7.697e-06,7.697e-06
