epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.38342,1.27424,0.90222,0.99556,0.38608,0.000327273,0.000327273,0.000327273
2,16.4798,0.32932,0.93778,1,0.18278,0.000638806,0.000638806,0.000638806
3,23.4223,0.14731,0.97333,1,0.06488,0.000928339,0.000928339,0.000928339
4,30.5274,0.07941,0.98222,1,0.03358,0.000901,0.000901,0.000901
5,37.4425,0.07219,0.97778,1,0.05306,0.000868,0.000868,0.000868
6,44.3189,0.07452,0.96889,1,0.07062,0.000835,0.000835,0.000835
7,52.3301,0.06551,0.98667,1,0.04228,0.000802,0.000802,0.000802
8,59.7508,0.09022,0.97333,1,0.09672,0.000769,0.000769,0.000769
9,67.2332,0.06437,0.96889,1,0.06144,0.000736,0.000736,0.000736
10,74.378,0.05,0.98667,1,0.03897,0.000703,0.000703,0.000703
11,81.6255,0.03291,0.98667,1,0.02463,0.00067,0.00067,0.00067
12,88.9271,0.02143,0.99111,1,0.02635,0.000637,0.000637,0.000637
13,96.1662,0.0352,0.99111,1,0.02722,0.000604,0.000604,0.000604
14,103.359,0.02681,0.99111,1,0.02032,0.000571,0.000571,0.000571
15,112.54,0.02682,0.98222,1,0.03849,0.000538,0.000538,0.000538
16,120.557,0.02417,0.98667,1,0.03045,0.000505,0.000505,0.000505
17,127.802,0.05318,0.99111,1,0.01782,0.000472,0.000472,0.000472
18,135.1,0.01714,0.99111,1,0.0181,0.000439,0.000439,0.000439
19,142.453,0.01666,0.99111,1,0.02408,0.000406,0.000406,0.000406
20,149.622,0.02937,0.98667,1,0.02789,0.000373,0.000373,0.000373
21,157.925,0.02061,0.98667,1,0.03027,0.00034,0.00034,0.00034
22,167.21,0.02124,0.98667,1,0.03057,0.000307,0.000307,0.000307
23,176.389,0.01606,0.98667,1,0.03538,0.000274,0.000274,0.000274
24,185.548,0.01206,0.98667,1,0.03552,0.000241,0.000241,0.000241
25,194.685,0.01422,0.98667,1,0.03962,0.000208,0.000208,0.000208
26,203.965,0.01624,0.98667,1,0.03451,0.000175,0.000175,0.000175
27,213.144,0.02101,0.98667,1,0.03464,0.000142,0.000142,0.000142
28,222.264,0.01872,0.98667,1,0.03281,0.000109,0.000109,0.000109
29,231.553,0.02381,0.98667,1,0.02883,7.6e-05,7.6e-05,7.6e-05
30,240.682,0.01931,0.98667,1,0.03323,4.3e-05,4.3e-05,4.3e-05
