epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,450.957,1.04734,0.79979,0.97291,1,0.99857,0.995,0.69306,1.15336,0.7993,1.09447,0.001208,0.001208,0.001208
22,476.673,1.12837,0.75996,1.00858,0.99904,1,0.995,0.71936,1.09448,0.77222,1.04159,0.0011684,0.0011684,0.0011684
23,503.256,1.02552,0.73837,1.00047,1,0.99475,0.995,0.71271,1.04798,0.75129,1.02262,0.0011288,0.0011288,0.0011288
24,529.782,1.02983,0.75557,1.01563,0.99826,0.96154,0.99389,0.75352,0.99025,0.6762,0.99922,0.0010892,0.0010892,0.0010892
25,556.198,1.03749,0.716,0.99195,0.99346,0.96154,0.99389,0.76494,0.93039,0.62009,0.96442,0.0010496,0.0010496,0.0010496
26,581.789,0.9755,0.6401,0.94024,1,0.99602,0.995,0.72328,1.09513,0.627,1.08245,0.00101,0.00101,0.00101
27,608.046,1.07177,0.65175,0.99338,0.99709,0.96154,0.98864,0.70299,1.24995,0.75679,1.15562,0.0009704,0.0009704,0.0009704
28,634.049,1.06314,0.70029,0.97208,1,0.99583,0.995,0.68032,1.23642,0.73957,1.15665,0.0009308,0.0009308,0.0009308
29,660.043,1.00703,0.63076,0.96505,1,0.99755,0.995,0.69582,1.18672,0.64652,1.10786,0.0008912,0.0008912,0.0008912
30,686.218,1.02549,0.62107,0.96863,0.99728,1,0.995,0.74824,1.00024,0.62365,1.0007,0.0008516,0.0008516,0.0008516
31,712.568,1.01431,0.63121,0.97404,0.9975,1,0.995,0.74898,0.98759,0.61197,1.00387,0.000812,0.000812,0.000812
32,738.743,0.92409,0.6021,0.97356,0.99755,1,0.995,0.71992,1.13567,0.62221,1.08661,0.0007724,0.0007724,0.0007724
33,764.841,0.97212,0.60069,0.97093,0.99751,1,0.995,0.73129,1.1287,0.58681,1.09389,0.0007328,0.0007328,0.0007328
34,788.985,1.0019,0.59301,0.95115,0.99766,1,0.995,0.74053,1.06379,0.5506,1.04873,0.0006932,0.0006932,0.0006932
35,809.083,1.01263,0.59412,0.96076,0.9981,1,0.995,0.7249,1.08476,0.53961,1.04745,0.0006536,0.0006536,0.0006536
36,831.725,0.96486,0.56137,0.95378,0.99805,1,0.995,0.69262,1.18531,0.57541,1.11461,0.000614,0.000614,0.000614
37,857.934,0.91049,0.53034,0.92984,0.99714,1,0.995,0.7214,1.11885,0.54716,1.0881,0.0005744,0.0005744,0.0005744
38,884.195,0.93387,0.54145,0.94263,0.998,1,0.995,0.71378,1.09077,0.49773,1.05519,0.0005348,0.0005348,0.0005348
39,909.901,0.93839,0.53452,0.9573,0.9993,1,0.995,0.74082,0.9863,0.51637,0.99887,0.0004952,0.0004952,0.0004952
40,936.041,0.8383,0.52708,0.94999,1,0.99652,0.995,0.74233,0.99978,0.51618,1.00688,0.0004556,0.0004556,0.0004556
41,961.867,0.9249,0.57927,0.96848,0.99677,0.96154,0.99389,0.73506,1.06169,0.5377,1.0397,0.000416,0.000416,0.000416
42,987.722,0.8923,0.58889,0.96774,1,0.99664,0.995,0.73637,1.08142,0.51606,1.04558,0.0003764,0.0003764,0.0003764
43,1013.62,0.86634,0.55371,0.91658,0.99953,1,0.995,0.72808,1.09082,0.53786,1.06392,0.0003368,0.0003368,0.0003368
44,1039.65,0.89346,0.55281,0.91959,0.99449,1,0.995,0.71771,1.08834,0.53606,1.07279,0.0002972,0.0002972,0.0002972
45,1065.51,0.95287,0.55364,0.94445,0.99649,1,0.995,0.71241,1.07489,0.51461,1.06393,0.0002576,0.0002576,0.0002576
46,1091.51,0.86966,0.5407,0.91021,0.99842,1,0.995,0.71743,1.07837,0.50457,1.05841,0.000218,0.000218,0.000218
47,1117.57,0.9242,0.55601,0.91368,0.99832,1,0.995,0.71549,1.08994,0.49135,1.06097,0.0001784,0.0001784,0.0001784
48,1143.5,0.90732,0.52478,0.93006,0.99827,1,0.995,0.71576,1.10276,0.48651,1.06957,0.0001388,0.0001388,0.0001388
49,1169.58,0.88879,0.52799,0.95574,0.99826,1,0.995,0.71975,1.10798,0.48582,1.07338,9.92e-05,9.92e-05,9.92e-05
50,1195.59,0.84908,0.50419,0.919,0.99834,1,0.995,0.72059,1.09484,0.48219,1.06481,5.96e-05,5.96e-05,5.96e-05
