epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6647,1.74807,5.57236,1.28774,0.0017,0.96154,0.00465,0.00197,1.31955,5.19344,1.00384,0.00028,0.00028,0.00028
2,44.0003,1.39274,3.47836,1.10587,0.00156,0.88462,0.00215,0.0011,1.21252,5.24414,1.03924,0.000568516,0.000568516,0.000568516
3,64.8011,1.33346,3.06783,1.09423,0.0015,0.84615,0.11784,0.08239,1.15322,4.85602,1.08457,0.000845152,0.000845152,0.000845152
4,85.6549,1.29995,2.56084,1.11116,0.00143,0.80769,0.09369,0.07589,1.09311,4.59207,1.05607,0.00110991,0.00110991,0.00110991
5,106.025,1.29553,2.38124,1.06696,0.00156,0.88462,0.07756,0.04905,1.22739,4.58737,1.19708,0.00136278,0.00136278,0.00136278
6,127.858,1.17198,2.00671,1.05823,0.95792,0.73077,0.74133,0.51276,1.17151,4.05649,1.12758,0.00160378,0.00160378,0.00160378
7,152.686,1.2429,1.98927,1.08979,1,0.50857,0.92522,0.64264,1.04741,2.92591,1.02681,0.0017624,0.0017624,0.0017624
8,176.73,1.22981,1.92367,1.01775,0.16291,0.80769,0.15859,0.10252,1.23717,4.605,1.15522,0.0017228,0.0017228,0.0017228
9,196.049,1.24409,1.63745,1.03106,0.04435,0.80769,0.04398,0.02876,1.23986,22.0425,1.18708,0.0016832,0.0016832,0.0016832
10,215.43,1.18145,1.61158,1.04479,1,0.90713,0.95108,0.67631,1.15764,1.65474,1.10643,0.0016436,0.0016436,0.0016436
11,234.718,1.20475,1.35996,1.04911,1,0.87976,0.95304,0.65424,1.21632,1.52379,1.14493,0.001604,0.001604,0.001604
12,253.846,1.1434,1.2198,1.01401,1,0.84179,0.90658,0.66116,1.15833,1.51589,1.13838,0.0015644,0.0015644,0.0015644
13,272.95,1.16925,1.13458,1.04067,0.97719,0.80769,0.82308,0.53308,1.40073,1.48463,1.23732,0.0015248,0.0015248,0.0015248
14,292.015,1.17236,1.07094,0.98148,0.99544,0.80769,0.91512,0.66412,1.08501,1.14388,1.10176,0.0014852,0.0014852,0.0014852
15,311.086,1.16339,1.06425,1.04005,1,0.84235,0.94119,0.68324,1.06571,1.02284,1.06867,0.0014456,0.0014456,0.0014456
16,330.225,1.09619,0.93748,0.98861,1,0.99058,0.995,0.70913,1.07243,0.94535,1.03339,0.001406,0.001406,0.001406
17,350.166,1.11588,0.90519,0.98926,1,0.99786,0.995,0.73182,1.08647,0.84781,1.06939,0.0013664,0.0013664,0.0013664
18,375.846,1.06944,0.8395,0.99083,1,0.99591,0.995,0.71682,1.08561,0.80338,1.09601,0.0013268,0.0013268,0.0013268
19,400.736,1.04353,0.87382,1.01846,1,0.99353,0.995,0.7202,1.13556,0.89171,1.10685,0.0012872,0.0012872,0.0012872
20,425.989,1.07547,0.75096,0.99155,0.99698,1,0.995,0.72303,1.12993,0.81831,1.10662,0.0012476,0.0012476,0.0012476
