epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,540.143,0.20706,0.7014,0.9721,0.9908,0.98443,0.99463,0.98026,0.37247,0.82467,0.58885,0.000664311,0.000664311,0.000664311
2,1061.39,0.15418,0.30726,0.92791,0.91308,0.95416,0.97913,0.78616,0.65655,0.85274,1.04443,0.00129804,0.00129804,0.00129804
3,1572.81,0.15006,0.25195,0.92295,0.99484,0.99989,0.995,0.98983,0.2081,0.32516,0.45959,0.00189876,0.00189876,0.00189876
4,2080.39,0.1327,0.21704,0.9137,0.981,0.98276,0.99076,0.96669,0.21783,0.41984,0.46167,0.0018515,0.0018515,0.0018515
5,2583.79,0.12326,0.20079,0.90734,0.99225,0.99731,0.99497,0.99168,0.20877,0.31291,0.49729,0.001802,0.001802,0.001802
6,3088.77,0.10768,0.17988,0.90101,0.99364,0.99827,0.99361,0.97887,0.18769,0.28184,0.43508,0.0017525,0.0017525,0.0017525
7,3605.46,0.10029,0.16218,0.90151,0.99991,1,0.995,0.99487,0.20795,0.27397,0.46916,0.001703,0.001703,0.001703
8,4122.58,0.10264,0.16711,0.90395,0.99881,0.99913,0.995,0.99361,0.16719,0.25622,0.43153,0.0016535,0.0016535,0.0016535
9,4632.94,0.08909,0.14822,0.89519,0.99826,0.99529,0.995,0.99476,0.16061,0.29266,0.40408,0.001604,0.001604,0.001604
10,5138.97,0.08205,0.14834,0.894,0.99888,0.99827,0.995,0.995,0.17269,0.24396,0.43273,0.0015545,0.0015545,0.0015545
11,5645.63,0.08086,0.14555,0.89565,0.99827,0.99781,0.995,0.99498,0.20741,0.28943,0.45943,0.001505,0.001505,0.001505
12,6156.32,0.07378,0.13774,0.89435,0.99741,0.99913,0.99421,0.98991,0.19257,0.25916,0.42657,0.0014555,0.0014555,0.0014555
13,6668.49,0.07454,0.13472,0.89188,0.99827,0.99893,0.995,0.99465,0.17631,0.28661,0.41079,0.001406,0.001406,0.001406
14,7178.95,0.07126,0.12606,0.88815,0.99995,0.99913,0.995,0.995,0.15399,0.21298,0.39881,0.0013565,0.0013565,0.0013565
15,7686.15,0.06532,0.12351,0.89169,0.99988,0.99827,0.995,0.995,0.15454,0.2229,0.39181,0.001307,0.001307,0.001307
16,8198.61,0.0652,0.12359,0.89401,0.99567,0.99491,0.995,0.99469,0.21015,0.21273,0.45313,0.0012575,0.0012575,0.0012575
17,8709.92,0.06367,0.12194,0.88892,1,0.99958,0.995,0.99488,0.16363,0.23821,0.41996,0.001208,0.001208,0.001208
18,9222,0.06215,0.12064,0.88965,0.99998,0.99913,0.995,0.99494,0.14116,0.21088,0.38938,0.0011585,0.0011585,0.0011585
19,9735.52,0.05642,0.11282,0.88934,0.99981,0.99913,0.995,0.99498,0.18276,0.26172,0.41549,0.001109,0.001109,0.001109
