epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3208,1.74807,5.57236,1.28774,0.0017,0.96154,0.00465,0.00197,1.31955,5.19344,1.00384,0.00028,0.00028,0.00028
2,58.3675,1.39097,3.46487,1.10335,0.00156,0.88462,0.0023,0.00123,1.21567,5.23343,1.0386,0.00055129,0.00055129,0.00055129
3,81.6618,1.33184,3.0096,1.08925,0.00143,0.80769,0.00298,0.002,1.163,4.89,1.09452,0.00079288,0.00079288,0.00079288
